"","name","fcs.well","FSC-A","FSC-W","FSC-H","SSC-A","SSC-W","SSC-H","hA PE 582/15 561nm-A","CD21 PE-cy7 780/60 561nm-A","CD38 BV421 450/50 405nm-A","CD20 BV605 610/20 405nm-A","CD27 BV711 710/50 405nm-A","hA APC 670/30 640nm-A","DUMP APC-ef780 780/60 640nm-A","SA BUV395 379/28 355nm-A","CD19 BUV496_515-30 450/50 355nm-A","IgD BUV737 740/35 355nm-A","CD71 FITC 530/30 488nm-A","Time","XLoc","YLoc","day","sampleID","age.group","fcs.XLoc","fcs.YLoc","lib.name","lib.well"
"1002","665X_d42_INX_665X_d42_002_021.fcs","B3",82995.1953125,78886.90625,68949,20492.48046875,79200.046875,16957,3.74872246806174,1.67892146671605,1.20506468788514,2.9260248111061,2.30184209079353,3.02804875073335,1.10864597745418,1.13915194969748,2.64436977273223,0.597473198490823,1.62220654533656,12608.900390625,1,2,"42","665X","young",1,2,"lib190916","B5"
"1003","665X_d42_INX_665X_d42_002_021.fcs","B4",69826.5546875,79220.1640625,57765,39539.28125,74063.1171875,34987,3.13956165250686,1.39318991765007,1.34904636916981,2.87840272122324,1.52093544085094,2.46289315358142,1.53574402146939,1.48806987970816,2.92037957765575,0.80093340321096,1.95429234233174,11916.400390625,1,3,"42","665X","young",1,3,"lib190916","B6"
"1004","665X_d42_INX_665X_d42_002_021.fcs","C1",76025.6015625,78546.0859375,63433,24424.919921875,76318.8515625,20974,3.39154006531718,1.62405806502873,0.517665642209051,2.65807626378773,2.09165237420022,2.69875181387379,1.05848379134477,1.03804736491834,2.62243521460189,0.336303977113974,1.43652094142896,13757,2,0,"42","665X","young",2,0,"lib190916","C3"
"1005","665X_d42_INX_665X_d42_002_021.fcs","C2",79223.0390625,79329.5546875,65448,23534.80078125,79201.8359375,19474,3.10298068266848,1.10349176327022,1.35946017602703,2.84077981133914,1.33374532759616,2.3643462662732,1.39852847172975,0.978261075466162,2.64655486650219,0.72722434148211,1.79027063605675,13999.599609375,2,1,"42","665X","young",2,1,"lib190916","C4"
"1006","665X_d42_INX_665X_d42_002_021.fcs","C3",83052.15625,79602.578125,68376,38050.08203125,77394.484375,32220,3.28001183178482,1.21292976494485,1.1246757183351,2.48928578020054,1.28588274203194,2.60630227222561,1.19500326407061,1.0684707110875,2.5561671849686,0.82831022721229,1.72401763055664,14253.2998046875,2,2,"42","665X","young",2,2,"lib190916","C5"
"1007","665X_d42_INX_665X_d42_002_021.fcs","C4",71217.921875,77861.6328125,59944,22229.201171875,76089.671875,19146,3.6756549249461,2.23774808914118,1.11286992912394,2.94860968190396,2.23922990427764,2.91829702078634,1.41419629626732,1.37605323542481,2.49786116940817,0.277320762574718,1.58456027404536,14515.900390625,2,3,"42","665X","young",2,3,"lib190916","C6"
"1008","665X_d42_INX_665X_d42_002_021.fcs","D1",66705.921875,73795.3984375,59240,20846.080078125,72498.875,18844,3.45054592263414,1.92344920172589,0.94469758676154,3.02654240916652,2.29512907296456,2.71359725745006,1.31578866088839,1.30312114062764,2.2940947301778,0.614690904267968,1.33152318302507,15427.599609375,3,0,"42","665X","young",3,0,"lib190916","D3"
"1009","665X_d42_INX_665X_d42_002_021.fcs","D2",80824.3203125,78472.6328125,67500,34798.3203125,74362.2890625,30668,3.79518798477145,1.61654045136218,0.683375464642438,2.81039254482411,1.34513771660194,3.08445859677398,1.31849401307179,0.739292665251669,2.94952557412326,0.523226281602521,1.57476959194528,15226.900390625,3,1,"42","665X","young",3,1,"lib190916","D4"
"1010","665X_d42_INX_665X_d42_002_021.fcs","D3",73377.28125,77602.203125,61968,21637.599609375,75887.9296875,18686,3.75995739282904,1.88433609296301,1.07544960152622,2.76908471641162,2.08092163908501,3.02803406341231,0.98606907747761,0.732046959822743,2.60939743396848,0.369082247851444,1.6935302792172,14998.7998046875,3,2,"42","665X","young",3,2,"lib190916","D5"
"1011","665X_d42_INX_665X_d42_002_021.fcs","D4",74128.640625,76722.9140625,63320,25265.400390625,73216.59375,22615,4.18904277086405,1.44128131652889,0.467627779935248,2.52509477340524,2.29325889175186,3.47788331908327,0.865312625142389,0.796939940974305,2.30320409644589,0.299887779176967,1.5164698389821,14731.099609375,3,3,"42","665X","young",3,3,"lib190916","D6"
"1012","665X_d42_INX_665X_d42_002_021.fcs","E1",76509.4375,77849.375,64408,22933.6796875,78280.2890625,19200,3.62127436882077,1.66170411092877,0.499727306618058,3.05043003135648,2.48580153098616,2.90003979052134,1.09279635472769,0.500514001372969,2.58126409832015,0.234463554340156,1.38588077805774,15771.599609375,4,0,"42","665X","young",4,0,"lib190916","E3"
"1013","665X_d42_INX_665X_d42_002_021.fcs","E2",70729.6015625,78489.171875,59057,21167.720703125,75727.265625,18319,3.51076831045264,1.36471380509243,0.541602392046598,2.88312806976178,0.828149499778039,2.81928208952454,1.01823809569144,0.930083905885895,2.64709076884569,0.618636031358578,1.30937064584755,16123.2001953125,4,1,"42","665X","young",4,1,"lib190916","E4"
